2025-04-19 17:53:40,830 [INFO] Servidor iniciado en 127.0.0.1:5056 - [pycodegen_server.py:869]
2025-04-19 18:02:51,326 [INFO] Nueva conexión desde ('127.0.0.1', 54397) - [pycodegen_server.py:778]
2025-04-19 18:02:51,332 [INFO] Nueva conexión desde ('127.0.0.1', 54398) - [pycodegen_server.py:778]
2025-04-19 18:03:10,969 [INFO] HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK" - [_client.py:1026]
2025-04-19 18:04:08,201 [INFO] Nueva conexión desde ('127.0.0.1', 54645) - [pycodegen_server.py:778]
2025-04-19 18:04:08,202 [INFO] Nueva conexión desde ('127.0.0.1', 54646) - [pycodegen_server.py:778]
2025-04-19 18:04:08,204 [INFO] Nueva conexión desde ('127.0.0.1', 54647) - [pycodegen_server.py:778]
2025-04-19 18:08:20,750 [INFO] Nueva conexión desde ('127.0.0.1', 55414) - [pycodegen_server.py:778]
2025-04-19 18:08:20,753 [INFO] Nueva conexión desde ('127.0.0.1', 55415) - [pycodegen_server.py:778]
2025-04-19 18:08:21,142 [INFO] HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK" - [_client.py:1026]
2025-04-19 18:17:04,939 [INFO] Servidor detenido por el usuario - [pycodegen_server.py:876]
